,country,year,co2,co2_per_capita,population,Deaths - Cause: All causes - Risk: Outdoor air pollution - OWID - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: High systolic blood pressure - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet high in sodium - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet low in whole grains - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Alcohol use - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet low in fruits - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Unsafe water source - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Secondhand smoke - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Low birth weight - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Child wasting - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Unsafe sex - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet low in nuts and seeds - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Household air pollution from solid fuels - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet low in vegetables - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Low physical activity - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Smoking - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: High fasting plasma glucose - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: High body-mass index - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Unsafe sanitation - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: No access to handwashing facility - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Drug use - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Low bone mineral density - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Vitamin A deficiency - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Child stunting - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Discontinued breastfeeding - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Non-exclusive breastfeeding - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Iron deficiency - Sex: Both - Age: All Ages (Number)
178,Africa,1990,659.295,1.052,630349685.0,169060.0,517225.0,53910.0,84581.0,181775.0,55539.0,875626.0,86286.0,738574.0,1324893.0,219750.0,29657.0,849985.0,44111.0,35653.0,243978.0,235137.0,1016435.0,197605.0,657254.0,502767.0,9417.0,17678.0,111243.0,336431.0,12498.0,194374.0,20760.0
179,Africa,1991,689.026,1.068,647344041.0,173284.0,530279.0,54726.0,86492.0,185915.0,56576.0,891975.0,86193.0,743576.0,1334548.0,277823.0,29876.0,854965.0,44963.0,36743.0,249771.0,244239.0,1025291.0,204707.0,668571.0,510534.0,11493.0,18251.0,110511.0,337791.0,12756.0,199186.0,20850.0
180,Africa,1992,668.677,1.01,664512034.0,177903.0,546003.0,55717.0,88607.0,190333.0,58033.0,879864.0,86672.0,748911.0,1324392.0,346730.0,30171.0,862498.0,46026.0,38058.0,256000.0,254856.0,1037216.0,213102.0,658974.0,508564.0,14132.0,18769.0,108260.0,335429.0,12510.0,195331.0,21114.0
181,Africa,1993,708.858,1.043,681869333.0,183152.0,561036.0,56454.0,91107.0,192704.0,59151.0,874695.0,86801.0,756069.0,1316012.0,424735.0,30531.0,868398.0,46726.0,39572.0,260980.0,264429.0,1048242.0,220730.0,654419.0,508280.0,17110.0,19173.0,106062.0,332856.0,12357.0,193919.0,21230.0
182,Africa,1994,719.623,1.029,699445412.0,188664.0,578231.0,57345.0,93391.0,197211.0,60539.0,890821.0,87309.0,764485.0,1316306.0,511438.0,30864.0,875226.0,47612.0,41221.0,268237.0,275651.0,1060845.0,230701.0,665805.0,516586.0,20653.0,19740.0,105402.0,332387.0,12335.0,194972.0,21476.0
183,Africa,1995,771.994,1.077,717270112.0,192552.0,592549.0,58339.0,95057.0,202508.0,61576.0,881504.0,87173.0,774019.0,1306929.0,603349.0,30813.0,882166.0,48491.0,42261.0,274589.0,285300.0,1072243.0,237189.0,658839.0,514878.0,24520.0,20270.0,104321.0,330043.0,12166.0,193401.0,21529.0
184,Africa,1996,783.254,1.066,735361106.0,198038.0,611544.0,59312.0,97356.0,207417.0,63007.0,882094.0,87319.0,783144.0,1296922.0,698261.0,30896.0,886678.0,49517.0,43750.0,281361.0,297667.0,1082738.0,248331.0,658871.0,515734.0,28523.0,20964.0,103433.0,327155.0,12115.0,192930.0,21795.0
185,Africa,1997,812.903,1.079,753737584.0,207919.0,635036.0,60574.0,100227.0,213374.0,64868.0,876974.0,88470.0,791850.0,1283798.0,794638.0,31230.0,888648.0,50604.0,45816.0,290851.0,312682.0,1094340.0,262989.0,654619.0,514410.0,32697.0,21507.0,101610.0,322869.0,12047.0,191529.0,22063.0
186,Africa,1998,838.022,1.085,772437161.0,215795.0,654282.0,61456.0,102374.0,218431.0,66009.0,872669.0,88693.0,801356.0,1273343.0,888574.0,31025.0,890790.0,51345.0,47486.0,296053.0,324937.0,1104007.0,272985.0,651094.0,513280.0,36599.0,22171.0,99799.0,318543.0,11875.0,190811.0,22556.0
187,Africa,1999,830.397,1.05,791504165.0,223212.0,669660.0,61842.0,104285.0,220634.0,66476.0,862106.0,88634.0,809720.0,1257232.0,976941.0,30719.0,890271.0,51685.0,48781.0,297284.0,334511.0,1110552.0,280781.0,642947.0,509577.0,40270.0,22510.0,98420.0,312843.0,11368.0,188343.0,23015.0
188,Africa,2000,886.562,1.094,810984230.0,226947.0,682376.0,62244.0,105149.0,225156.0,67131.0,848137.0,88442.0,816084.0,1231171.0,1057770.0,30317.0,889539.0,52147.0,49463.0,299641.0,344417.0,1114339.0,288170.0,632245.0,504676.0,43881.0,23007.0,93922.0,304325.0,10621.0,184722.0,23325.0
189,Africa,2001,884.168,1.064,830902539.0,233898.0,698265.0,62552.0,107585.0,226575.0,67463.0,833377.0,88883.0,821293.0,1200953.0,1126122.0,30387.0,882921.0,52181.0,51067.0,302206.0,354768.0,1115183.0,299217.0,620932.0,497555.0,47061.0,23287.0,89200.0,293221.0,10022.0,181483.0,23638.0
190,Africa,2002,892.575,1.049,851298437.0,240765.0,717423.0,63305.0,110238.0,229622.0,68192.0,813565.0,89407.0,825997.0,1171262.0,1182865.0,30607.0,878204.0,52566.0,52933.0,305392.0,368000.0,1117536.0,311083.0,605529.0,489551.0,49774.0,24045.0,83154.0,280569.0,9669.0,177358.0,24129.0
191,Africa,2003,967.22,1.109,872248336.0,248444.0,736899.0,64017.0,113139.0,233684.0,68938.0,789867.0,89876.0,831204.0,1134437.0,1226124.0,30986.0,869992.0,52974.0,54938.0,309925.0,381886.0,1116622.0,324193.0,587538.0,478995.0,51913.0,24435.0,77739.0,267784.0,9353.0,172595.0,24711.0
192,Africa,2004,1036.686,1.16,893842786.0,253462.0,749757.0,64592.0,114756.0,236325.0,69273.0,767564.0,89708.0,834472.0,1097148.0,1246894.0,30958.0,860568.0,53194.0,55886.0,310778.0,393002.0,1111629.0,333532.0,570357.0,468700.0,53030.0,24824.0,71248.0,253476.0,8993.0,167680.0,25187.0
193,Africa,2005,1057.342,1.155,916154285.0,258604.0,760736.0,64896.0,116061.0,237371.0,69468.0,750806.0,89521.0,838733.0,1065486.0,1234492.0,30929.0,851964.0,53282.0,56693.0,310668.0,403499.0,1107553.0,342442.0,557613.0,460382.0,52945.0,25220.0,63984.0,240288.0,8736.0,163506.0,25393.0
194,Africa,2006,1090.195,1.161,939210049.0,267694.0,778480.0,65748.0,118232.0,239400.0,70135.0,748529.0,90175.0,839753.0,1034821.0,1189515.0,31201.0,847223.0,53694.0,58036.0,313606.0,418098.0,1110975.0,355115.0,555461.0,459194.0,51650.0,25899.0,54398.0,221782.0,8861.0,161784.0,25520.0
195,Africa,2007,1132.293,1.176,963021837.0,274436.0,793403.0,66238.0,119983.0,240343.0,70377.0,734495.0,90165.0,839376.0,1000775.0,1119452.0,31294.0,837341.0,53886.0,59173.0,314102.0,431108.0,1107647.0,365623.0,544629.0,452007.0,49733.0,26118.0,48491.0,207863.0,9091.0,157468.0,25481.0
196,Africa,2008,1181.391,1.197,987623519.0,282637.0,814663.0,67286.0,122736.0,241809.0,71150.0,715541.0,90566.0,835684.0,965086.0,1039047.0,31681.0,824671.0,54415.0,60936.0,316878.0,447922.0,1103455.0,379548.0,529782.0,441685.0,47553.0,26627.0,45850.0,198827.0,9261.0,152440.0,25297.0
197,Africa,2009,1191.035,1.176,1013045724.0,292369.0,837612.0,68467.0,125854.0,244556.0,72167.0,700251.0,91324.0,831030.0,933101.0,969772.0,32162.0,813248.0,55090.0,62883.0,320916.0,465638.0,1102189.0,395959.0,517527.0,433442.0,45236.0,27248.0,42985.0,189108.0,9231.0,147516.0,25275.0
198,Africa,2010,1218.023,1.172,1039304030.0,301219.0,856582.0,69486.0,128494.0,246609.0,73103.0,679174.0,91675.0,823970.0,910409.0,916105.0,32578.0,800351.0,55734.0,64626.0,323620.0,480836.0,1098472.0,411003.0,500574.0,422819.0,43679.0,27750.0,41180.0,181689.0,8997.0,141925.0,25111.0
199,Africa,2011,1258.709,1.181,1066409711.0,311465.0,874333.0,70786.0,131185.0,247571.0,74160.0,656814.0,91800.0,815611.0,884901.0,865544.0,32981.0,786661.0,56617.0,66092.0,326663.0,494603.0,1094896.0,424845.0,482341.0,411539.0,42531.0,28414.0,40450.0,177671.0,8908.0,136072.0,24956.0
200,Africa,2012,1253.144,1.146,1094343029.0,327136.0,898093.0,72220.0,134951.0,250410.0,75474.0,635673.0,92896.0,805745.0,844064.0,810948.0,33673.0,774269.0,57662.0,68322.0,330582.0,511961.0,1097467.0,443670.0,464683.0,402321.0,41394.0,29039.0,37129.0,169458.0,8999.0,129827.0,24522.0
201,Africa,2013,1260.316,1.123,1123045137.0,341977.0,919134.0,73684.0,138235.0,254381.0,76680.0,620251.0,93482.0,796140.0,818021.0,762870.0,34302.0,761454.0,58717.0,70406.0,334835.0,528864.0,1098418.0,460227.0,451239.0,395800.0,40348.0,29621.0,33460.0,161695.0,8926.0,124493.0,24146.0
202,Africa,2014,1363.5,1.184,1152433617.0,356071.0,941798.0,75233.0,141516.0,259069.0,78192.0,605706.0,94697.0,785441.0,791662.0,728228.0,35053.0,749297.0,59816.0,72636.0,340195.0,547341.0,1100169.0,481775.0,438483.0,389876.0,39860.0,30288.0,30670.0,154200.0,8156.0,118719.0,23756.0
203,Africa,2015,1322.735,1.119,1182438803.0,370225.0,973032.0,77342.0,147003.0,262349.0,80234.0,588800.0,96827.0,773211.0,763715.0,704541.0,36332.0,739226.0,61399.0,76026.0,348203.0,569925.0,1105007.0,506253.0,423828.0,381980.0,39879.0,31218.0,27831.0,146378.0,7112.0,112954.0,23205.0
204,Africa,2016,1356.719,1.119,1213040542.0,373196.0,993155.0,79168.0,150456.0,266232.0,81781.0,577519.0,97576.0,760692.0,738399.0,688892.0,37158.0,731384.0,62691.0,77826.0,353110.0,587940.0,1100568.0,526148.0,413798.0,375923.0,40331.0,31732.0,25076.0,138973.0,6355.0,108172.0,22862.0
205,Africa,2017,1384.372,1.113,1244222269.0,374338.0,1011214.0,80977.0,153750.0,271554.0,83474.0,568445.0,97905.0,743847.0,709522.0,663539.0,37876.0,719804.0,64206.0,79274.0,357567.0,603810.0,1089882.0,543599.0,405417.0,368461.0,40671.0,32335.0,23108.0,131300.0,5875.0,103791.0,22520.0
206,Africa,2018,1385.645,1.086,1275921014.0,382385.0,1031683.0,83000.0,157796.0,275486.0,84961.0,538930.0,98497.0,729625.0,664819.0,626836.0,38629.0,709085.0,65779.0,80869.0,362445.0,619813.0,1086667.0,559994.0,382764.0,354027.0,41004.0,33115.0,21779.0,121129.0,5339.0,97716.0,22222.0
207,Africa,2019,1408.479,1.077,1308064176.0,394719.0,1054072.0,85039.0,161880.0,280175.0,86740.0,516789.0,99559.0,716624.0,629922.0,607742.0,39455.0,696930.0,67416.0,82788.0,368265.0,638611.0,1086283.0,578820.0,365913.0,343027.0,42206.0,33828.0,20475.0,113364.0,5000.0,93478.0,21972.0
208,Africa,2020,1326.044,0.99,1340598111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,Asia,1990,6625.838,2.055,3225332306.0,1269376.0,3043558.0,879621.0,418845.0,741019.0,478394.0,1465067.0,773239.0,2004069.0,1900976.0,95644.0,183146.0,3263614.0,255947.0,152957.0,3144991.0,1287067.0,4429627.0,638850.0,1112983.0,644069.0,150580.0,110626.0,92140.0,468064.0,14845.0,261715.0,49427.0
1214,Asia,1991,6956.347,2.12,3282162202.0,1307105.0,3112612.0,888687.0,430003.0,758015.0,485180.0,1462449.0,779484.0,1976561.0,1829929.0,98000.0,186137.0,3230734.0,253236.0,159013.0,3229719.0,1341097.0,4432114.0,662163.0,1110195.0,639139.0,159699.0,113868.0,89248.0,452535.0,14173.0,252061.0,48424.0
1215,Asia,1992,7269.585,2.179,3336711023.0,1353316.0,3186963.0,897997.0,441993.0,771926.0,493145.0,1456840.0,785247.0,1953531.0,1751640.0,102903.0,189140.0,3198895.0,251183.0,165991.0,3311342.0,1400578.0,4442110.0,690413.0,1104777.0,634475.0,167501.0,116975.0,86675.0,436474.0,13068.0,240659.0,48341.0
1216,Asia,1993,7600.515,2.243,3389426674.0,1398933.0,3252205.0,905584.0,454317.0,782419.0,500411.0,1403477.0,787109.0,1920587.0,1669605.0,108989.0,192297.0,3151326.0,248630.0,172644.0,3383143.0,1452665.0,4437437.0,719081.0,1059547.0,608581.0,175516.0,120493.0,80581.0,416105.0,12015.0,228261.0,46656.0
1217,Asia,1994,7931.294,2.305,3441075571.0,1443560.0,3303570.0,907728.0,465338.0,794246.0,506662.0,1342729.0,784955.0,1883220.0,1594421.0,117317.0,195182.0,3090776.0,246048.0,178105.0,3442732.0,1499315.0,4419303.0,747859.0,1008243.0,581482.0,184751.0,123453.0,75040.0,397408.0,11134.0,214896.0,45853.0
1218,Asia,1995,8251.609,2.363,3492231607.0,1487301.0,3360291.0,913436.0,475748.0,806231.0,512834.0,1301701.0,781106.0,1851160.0,1615991.0,127314.0,197102.0,3026643.0,243520.0,183554.0,3503632.0,1544982.0,4399985.0,777524.0,972465.0,562720.0,193046.0,126382.0,70841.0,380273.0,10349.0,201350.0,44986.0
1219,Asia,1996,8579.1,2.422,3542977808.0,1545446.0,3443468.0,921708.0,490225.0,816443.0,523473.0,1257845.0,780435.0,1808064.0,1510715.0,140611.0,201490.0,2977667.0,242764.0,188868.0,3575129.0,1603019.0,4409220.0,813196.0,933579.0,541671.0,200418.0,130411.0,65736.0,359034.0,9583.0,187211.0,44086.0
1220,Asia,1997,8691.038,2.419,3593141515.0,1624115.0,3546555.0,929519.0,507787.0,827068.0,537218.0,1236694.0,779993.0,1772817.0,1432122.0,156323.0,208207.0,2940102.0,243456.0,194824.0,3658584.0,1674825.0,4443883.0,855050.0,911611.0,529655.0,206768.0,135991.0,60829.0,339708.0,9035.0,174363.0,44260.0
1221,Asia,1998,8421.433,2.312,3642754205.0,1691030.0,3624338.0,937391.0,520682.0,836048.0,544356.0,1214469.0,774927.0,1738074.0,1351462.0,173729.0,210982.0,2866911.0,240426.0,200289.0,3719280.0,1736435.0,4436253.0,895897.0,889651.0,515261.0,213835.0,140030.0,56865.0,319979.0,8731.0,163164.0,43546.0
1222,Asia,1999,8678.317,2.351,3691810055.0,1771581.0,3707652.0,953591.0,533890.0,848094.0,550651.0,1188124.0,771915.0,1700629.0,1274495.0,193015.0,212762.0,2785945.0,237295.0,206147.0,3772440.0,1796057.0,4429434.0,941300.0,864481.0,501130.0,219196.0,143740.0,54019.0,300244.0,8590.0,154524.0,42932.0
1223,Asia,2000,9091.055,2.431,3740320064.0,1847321.0,3833225.0,980835.0,555142.0,863992.0,565077.0,1156622.0,776381.0,1664126.0,1196288.0,212806.0,219002.0,2744861.0,238162.0,214791.0,3870915.0,1878860.0,4468611.0,992050.0,835011.0,485784.0,223553.0,149055.0,51063.0,280584.0,8111.0,147101.0,42209.0
1224,Asia,2001,9259.172,2.445,3788325086.0,1914088.0,3952267.0,1001239.0,577457.0,873631.0,578050.0,1118730.0,778061.0,1626451.0,1119097.0,232392.0,226707.0,2704815.0,240141.0,223862.0,3934732.0,1971913.0,4496363.0,1040108.0,799386.0,467000.0,222447.0,155080.0,46685.0,260456.0,7398.0,138770.0,40633.0
1225,Asia,2002,9779.534,2.55,3835903280.0,1980923.0,4089414.0,1029084.0,602465.0,888749.0,590878.0,1081980.0,782464.0,1598874.0,1051779.0,250845.0,234963.0,2668293.0,241741.0,233046.0,4001184.0,2089783.0,4528152.0,1098918.0,765547.0,450043.0,219365.0,162627.0,42832.0,243147.0,6804.0,131642.0,38346.0
1226,Asia,2003,10716.11,2.76,3883141056.0,2052730.0,4197040.0,1052341.0,625146.0,904325.0,597588.0,1046113.0,782791.0,1568878.0,919149.0,264766.0,241325.0,2610830.0,240615.0,240997.0,4053992.0,2203191.0,4535741.0,1153134.0,734121.0,435596.0,215094.0,170915.0,37943.0,226196.0,6418.0,126095.0,35824.0
1227,Asia,2004,11681.501,2.972,3930136052.0,2118183.0,4283865.0,1074142.0,643321.0,922718.0,599792.0,1003176.0,782704.0,1539200.0,867274.0,278386.0,244588.0,2534291.0,237107.0,247970.0,4094057.0,2296508.0,4522320.0,1200610.0,697612.0,418727.0,213888.0,177827.0,34891.0,212275.0,6063.0,121145.0,34225.0
1228,Asia,2005,12522.219,3.149,3976958795.0,2189795.0,4413028.0,1088721.0,667625.0,936050.0,608142.0,984112.0,786644.0,1503617.0,816021.0,285723.0,254012.0,2487616.0,240694.0,259019.0,4144249.0,2397394.0,4547775.0,1255865.0,680241.0,411350.0,216141.0,187669.0,31172.0,197674.0,5611.0,115242.0,33540.0
1229,Asia,2006,13363.127,3.321,4023634376.0,2251745.0,4506397.0,1087881.0,686771.0,944226.0,610776.0,973177.0,782903.0,1466785.0,769440.0,286449.0,262826.0,2420772.0,245710.0,267911.0,4131338.0,2449278.0,4539831.0,1303081.0,668938.0,405793.0,215838.0,194439.0,28535.0,184356.0,5040.0,108466.0,32185.0
1230,Asia,2007,14080.908,3.46,4070151228.0,2343093.0,4629932.0,1100485.0,708624.0,966602.0,616121.0,959777.0,783578.0,1427290.0,722628.0,282287.0,271843.0,2348702.0,249826.0,277772.0,4155746.0,2503544.0,4552060.0,1359607.0,656944.0,399412.0,216205.0,201128.0,25697.0,170368.0,4558.0,102154.0,30297.0
1231,Asia,2008,14811.211,3.598,4116490551.0,2462476.0,4798434.0,1128611.0,735604.0,1005720.0,624820.0,951725.0,793075.0,1395252.0,683406.0,277512.0,281460.0,2289910.0,254294.0,290483.0,4222639.0,2574670.0,4606305.0,1425736.0,648060.0,394441.0,218069.0,207363.0,22789.0,155470.0,4392.0,96892.0,29100.0
1232,Asia,2009,15412.299,3.703,4162614712.0,2535778.0,4931758.0,1155025.0,756867.0,1020360.0,627232.0,909554.0,796795.0,1357771.0,641991.0,268737.0,287291.0,2197138.0,254932.0,300111.0,4256860.0,2622867.0,4596604.0,1481009.0,613932.0,375522.0,215987.0,207651.0,20381.0,142251.0,4266.0,91441.0,27861.0
1233,Asia,2010,16530.951,3.928,4208481106.0,2633128.0,5101886.0,1188998.0,785762.0,1045469.0,636344.0,887506.0,807342.0,1319402.0,603208.0,261633.0,297093.0,2124865.0,258867.0,312567.0,4316856.0,2699827.0,4628882.0,1552024.0,595664.0,363073.0,216388.0,211547.0,18194.0,131056.0,4198.0,86326.0,27047.0
1234,Asia,2011,17746.632,4.172,4254064787.0,2743692.0,5263662.0,1217325.0,815264.0,1068733.0,645708.0,881100.0,818804.0,1281244.0,563959.0,256379.0,307560.0,2054656.0,263992.0,324892.0,4371437.0,2799071.0,4670492.0,1630128.0,589053.0,353739.0,217526.0,217529.0,15784.0,118976.0,4267.0,81338.0,25942.0
1235,Asia,2012,18456.3,4.293,4299327145.0,2851278.0,5380154.0,1234531.0,836887.0,1088726.0,651396.0,845968.0,825802.0,1244045.0,531460.0,250009.0,314523.0,1973277.0,268577.0,333746.0,4415035.0,2897102.0,4693364.0,1706959.0,559995.0,337260.0,216336.0,221719.0,12906.0,107666.0,4352.0,77073.0,24340.0
1236,Asia,2013,18714.335,4.308,4344187451.0,2976717.0,5504385.0,1249988.0,860187.0,1102509.0,656894.0,818321.0,837928.0,1210630.0,496911.0,249271.0,321032.0,1894660.0,272454.0,347705.0,4457729.0,3008818.0,4733566.0,1784331.0,534971.0,324578.0,217545.0,229808.0,9842.0,96448.0,4253.0,72331.0,23516.0
1237,Asia,2014,19018.802,4.334,4388547197.0,3072012.0,5608621.0,1262675.0,877574.0,1111824.0,659892.0,778256.0,848688.0,1159834.0,456250.0,248113.0,323993.0,1811990.0,274385.0,360264.0,4497286.0,3109811.0,4746886.0,1859581.0,499810.0,306936.0,219342.0,236848.0,7690.0,84960.0,4014.0,67018.0,21703.0
1238,Asia,2015,19135.91,4.317,4432314335.0,3151685.0,5731747.0,1282883.0,898448.0,1128277.0,668511.0,752510.0,860384.0,1119405.0,419985.0,247044.0,330063.0,1750206.0,279727.0,369807.0,4541366.0,3200566.0,4772033.0,1948315.0,472303.0,293775.0,223253.0,243854.0,6202.0,75220.0,3704.0,61973.0,20631.0
1239,Asia,2016,19218.166,4.294,4475437603.0,3199177.0,5883099.0,1311185.0,921328.0,1153571.0,679981.0,728403.0,875716.0,1048085.0,381931.0,245553.0,336245.0,1704820.0,285116.0,383460.0,4619194.0,3258410.0,4770171.0,2037885.0,445080.0,281582.0,226898.0,251346.0,5135.0,66154.0,3332.0,55610.0,19811.0
1240,Asia,2017,19653.513,4.35,4517860329.0,3235892.0,6017868.0,1334266.0,943901.0,1175683.0,690391.0,730091.0,891673.0,986772.0,357873.0,241805.0,341633.0,1665608.0,290408.0,400515.0,4692118.0,3307938.0,4761135.0,2122199.0,433985.0,277947.0,230866.0,259062.0,4827.0,60621.0,3134.0,51267.0,19041.0
1241,Asia,2018,20254.37,4.442,4559477874.0,3320258.0,6168638.0,1356219.0,970614.0,1199972.0,704148.0,710861.0,914701.0,935439.0,327034.0,240224.0,347534.0,1611135.0,296775.0,410775.0,4784163.0,3449265.0,4797526.0,2218976.0,406543.0,269376.0,236902.0,268083.0,4164.0,53967.0,2672.0,45265.0,19031.0
1242,Asia,2019,20608.593,4.48,4600172691.0,3460203.0,6333707.0,1389599.0,996306.0,1231617.0,717524.0,693148.0,939778.0,892983.0,304792.0,241248.0,350336.0,1533729.0,301995.0,416944.0,4891971.0,3640897.0,4854619.0,2329504.0,379410.0,261293.0,244615.0,275997.0,3204.0,48069.0,2387.0,41382.0,18724.0
1243,Asia,2020,20317.058,4.379,4639847425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4693,China,1990,2484.855,2.111,1176883681.0,626744.0,1222195.0,554484.0,134126.0,357337.0,207316.0,75817.0,403207.0,253303.0,314550.0,28924.0,52811.0,1329829.0,86522.0,46082.0,1531775.0,450809.0,1895767.0,234998.0,59594.0,69012.0,88100.0,32002.0,3904.0,67884.0,2949.0,62528.0,3323.0
4694,China,1991,2606.096,2.185,1192897277.0,649288.0,1246742.0,558283.0,137410.0,364816.0,208642.0,70793.0,407169.0,250371.0,303152.0,29073.0,52941.0,1307936.0,81730.0,48960.0,1581921.0,472255.0,1896715.0,241216.0,55627.0,65061.0,94211.0,32461.0,3544.0,64406.0,2750.0,59091.0,2934.0
4695,China,1992,2730.788,2.263,1206711243.0,679077.0,1269084.0,561593.0,140298.0,370263.0,210382.0,63643.0,409170.0,242548.0,280752.0,29297.0,52787.0,1282940.0,76732.0,51868.0,1630883.0,495036.0,1898568.0,248473.0,49965.0,60631.0,98593.0,33011.0,3173.0,59398.0,2451.0,54480.0,2586.0
4696,China,1993,2921.651,2.397,1218817059.0,706222.0,1289060.0,564049.0,143344.0,373551.0,212456.0,57228.0,409128.0,233119.0,256732.0,29732.0,52532.0,1251834.0,71847.0,54649.0,1675896.0,516164.0,1893795.0,256553.0,44869.0,55418.0,102067.0,33849.0,2778.0,53459.0,2172.0,49841.0,2372.0
