,country,year,co2,co2_per_capita,population,Deaths - Cause: All causes - Risk: Outdoor air pollution - OWID - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: High systolic blood pressure - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet high in sodium - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet low in whole grains - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Alcohol use - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet low in fruits - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Unsafe water source - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Secondhand smoke - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Low birth weight - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Child wasting - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Unsafe sex - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet low in nuts and seeds - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Household air pollution from solid fuels - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet low in vegetables - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Low physical activity - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Smoking - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: High fasting plasma glucose - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: High body-mass index - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Unsafe sanitation - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: No access to handwashing facility - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Drug use - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Low bone mineral density - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Vitamin A deficiency - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Child stunting - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Discontinued breastfeeding - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Non-exclusive breastfeeding - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Iron deficiency - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Outdoor air pollution - OWID - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: High systolic blood pressure - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Diet high in sodium - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Diet low in whole grains - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Alcohol use - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Diet low in fruits - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Unsafe water source - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Secondhand smoke - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Low birth weight - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Child wasting - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Unsafe sex - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Diet low in nuts and seeds - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Household air pollution from solid fuels - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Diet low in vegetables - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Low physical activity - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Smoking - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: High fasting plasma glucose - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: High body-mass index - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Unsafe sanitation - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: No access to handwashing facility - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Drug use - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Low bone mineral density - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Vitamin A deficiency - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Child stunting - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Discontinued breastfeeding - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Non-exclusive breastfeeding - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Iron deficiency - Sex: Both - Age: All Ages (Number)
178,Africa,1990,659.295,1.052,630349685.0,169060.0,517225.0,53910.0,84581.0,181775.0,55539.0,875626.0,86286.0,738574.0,1324893.0,219750.0,29657.0,849985.0,44111.0,35653.0,243978.0,235137.0,1016435.0,197605.0,657254.0,502767.0,9417.0,17678.0,111243.0,336431.0,12498.0,194374.0,20760.0,26.820034026034296,82.05366200825499,8.552395802339458,13.418107760298158,28.837168372662862,8.810823789021168,138.91115056240568,13.68859254684961,117.16893298677543,210.1838124976615,34.861602254945204,4.704848864959772,134.84340838529965,6.997861829660469,5.656066917841008,38.705183139736164,37.30262830225734,161.24938652107045,31.348472871847314,104.26815712615134,79.7600144751401,1.493932689123181,2.8044751065434417,17.64782352512796,53.37212153917393,1.9827090101583853,30.835900235279723,3.2934100696821953
179,Africa,1991,689.026,1.068,647344041.0,173284.0,530279.0,54726.0,86492.0,185915.0,56576.0,891975.0,86193.0,743576.0,1334548.0,277823.0,29876.0,854965.0,44963.0,36743.0,249771.0,244239.0,1025291.0,204707.0,668571.0,510534.0,11493.0,18251.0,110511.0,337791.0,12756.0,199186.0,20850.0,26.768455261025565,81.91610124051485,8.453928133092987,13.361056026157193,28.719658825128505,8.739711253478582,137.7899453005083,13.314867294808387,114.8656592020749,206.15745499694805,42.917364245884826,4.61516567818379,132.0727381191727,6.945765644268904,5.675961725582641,38.583965276665,37.72939650803088,158.38424934230608,31.622597418796662,103.2790846374687,78.86594572050753,1.7754083257252076,2.819366340625664,17.07144779293643,52.181062712524444,1.9705132343992642,30.769727901148627,3.2208530054268314
180,Africa,1992,668.677,1.01,664512034.0,177903.0,546003.0,55717.0,88607.0,190333.0,58033.0,879864.0,86672.0,748911.0,1324392.0,346730.0,30171.0,862498.0,46026.0,38058.0,256000.0,254856.0,1037216.0,213102.0,658974.0,508564.0,14132.0,18769.0,108260.0,335429.0,12510.0,195331.0,21114.0,26.77197565996224,82.16600634203112,8.384648757166074,13.334145277495455,28.64252116764525,8.733175176779417,132.40753439839133,13.042954162663063,112.70089354017628,199.30293692770056,52.17813707795094,4.5403240959214894,129.79418819674828,6.926285401176045,5.727210050796462,38.52450924914326,38.35235284843615,156.08686478656006,32.068945195355184,99.16660139822238,76.53194735070818,2.1266732996441116,2.8244785706920696,16.291653794188473,50.47749067551122,1.8825844168233679,29.394652016189074,3.177369094868792
181,Africa,1993,708.858,1.043,681869333.0,183152.0,561036.0,56454.0,91107.0,192704.0,59151.0,874695.0,86801.0,756069.0,1316012.0,424735.0,30531.0,868398.0,46726.0,39572.0,260980.0,264429.0,1048242.0,220730.0,654419.0,508280.0,17110.0,19173.0,106062.0,332856.0,12357.0,193919.0,21230.0,26.860278228702803,82.27910727875482,8.27929887264779,13.361357607792577,28.261133134139648,8.674829199277099,128.27897628884858,12.729858317297284,110.88180145505972,193.00061409272968,62.28979357838344,4.477544086881525,127.35548557072298,6.852632570293347,5.803457947858758,38.27419527019556,38.780010656381876,153.73062686190642,32.371304781938335,95.97425317850451,74.54214105270518,2.5092784162504636,2.8118290517107036,15.554593067466783,48.81521779774777,1.8122240438110448,28.439319766269644,3.1134997531851165
182,Africa,1994,719.623,1.029,699445412.0,188664.0,578231.0,57345.0,93391.0,197211.0,60539.0,890821.0,87309.0,764485.0,1316306.0,511438.0,30864.0,875226.0,47612.0,41221.0,268237.0,275651.0,1060845.0,230701.0,665805.0,516586.0,20653.0,19740.0,105402.0,332387.0,12335.0,194972.0,21476.0,26.97337015343808,82.66992535508976,8.198638380660363,13.352149917311918,28.19533828038034,8.655285882409935,127.36104701191464,12.482603860442508,109.29873681121522,188.19281353724858,73.12050250463291,4.412638852222537,125.13142340835027,6.807107342924426,5.893383428183814,38.349954892548496,39.40993754062969,151.66944865169833,32.98341743930118,95.19041637519527,73.85651419499196,2.9527679566793696,2.8222359688592826,15.069367557735871,47.52150693927205,1.763540054502495,27.87522752383141,3.0704326072554182
183,Africa,1995,771.994,1.077,717270112.0,192552.0,592549.0,58339.0,95057.0,202508.0,61576.0,881504.0,87173.0,774019.0,1306929.0,603349.0,30813.0,882166.0,48491.0,42261.0,274589.0,285300.0,1072243.0,237189.0,658839.0,514878.0,24520.0,20270.0,104321.0,330043.0,12166.0,193401.0,21529.0,26.8451168923096,82.61169538317526,8.13347705752446,13.252608523579468,28.23315744125136,8.58477147866995,122.89707674310567,12.153441017768213,107.91178763071059,182.20876321694553,84.11740429524548,4.295871176631434,122.98937112271591,6.760493597703399,5.8919226234258595,38.282509671893315,39.775810427188134,149.48942972267608,33.06829547639091,91.85368091846549,71.78299937304512,3.4185169003668174,2.825992559968817,14.544172168155253,46.01376726540642,1.6961532059487237,26.963482342897343,3.0015191822184835
184,Africa,1996,783.254,1.066,735361106.0,198038.0,611544.0,59312.0,97356.0,207417.0,63007.0,882094.0,87319.0,783144.0,1296922.0,698261.0,30896.0,886678.0,49517.0,43750.0,281361.0,297667.0,1082738.0,248331.0,658871.0,515734.0,28523.0,20964.0,103433.0,327155.0,12115.0,192930.0,21795.0,26.93071449987729,83.16240755871578,8.065697181433471,13.239209852907287,28.206142303098634,8.568171403941507,119.95385570473726,11.87430220167233,106.49788159995505,176.36532438526876,94.95484521858843,4.201473228310772,120.57722291339134,6.733698532051544,5.949457979628311,38.26161020814174,40.479024192503324,147.23895391878395,33.76993941803607,89.59829322275851,70.1334345523572,3.878774627495732,2.8508442762269235,14.06560656472903,44.489026864578285,1.647489906815931,26.23608978307863,2.9638499809371206
185,Africa,1997,812.903,1.079,753737584.0,207919.0,635036.0,60574.0,100227.0,213374.0,64868.0,876974.0,88470.0,791850.0,1283798.0,794638.0,31230.0,888648.0,50604.0,45816.0,290851.0,312682.0,1094340.0,262989.0,654619.0,514410.0,32697.0,21507.0,101610.0,322869.0,12047.0,191529.0,22063.0,27.585064671526318,84.25160340684297,8.036483954872018,13.297333465595102,28.308791352508702,8.606178247839635,116.35004258988896,11.73750677662904,105.05645689017412,170.3242650030836,105.42634689687969,4.143351832645246,117.8988574888419,6.71374243160999,6.07850808723902,38.587832977159856,41.48419909494655,145.1884612403778,34.89132100914315,86.84972248909376,68.24789036922962,4.337981904322818,2.853380335084896,13.480819075090727,42.83573047884528,1.5983016179275464,25.41056782435835,2.9271460609558777
186,Africa,1998,838.022,1.085,772437161.0,215795.0,654282.0,61456.0,102374.0,218431.0,66009.0,872669.0,88693.0,801356.0,1273343.0,888574.0,31025.0,890790.0,51345.0,47486.0,296053.0,324937.0,1104007.0,272985.0,651094.0,513280.0,36599.0,22171.0,99799.0,318543.0,11875.0,190811.0,22556.0,27.936900358422815,84.70358924122243,7.956116445826976,13.253375830270288,28.2781578914741,8.545549506518368,112.9760508764544,11.482228520075045,103.743843572021,164.84745482098833,115.03511804761553,4.016507952547871,115.3220022256283,6.647142653459159,6.147555088950466,38.32713066480757,42.06646396702812,142.9251537524099,35.340738869501386,84.29086958440624,66.44941827183791,4.738120050130524,2.8702658441881983,12.920015379736501,41.23869436675121,1.5373418835296038,24.702462495845666,2.920108086306842
187,Africa,1999,830.397,1.05,791504165.0,223212.0,669660.0,61842.0,104285.0,220634.0,66476.0,862106.0,88634.0,809720.0,1257232.0,976941.0,30719.0,890271.0,51685.0,48781.0,297284.0,334511.0,1110552.0,280781.0,642947.0,509577.0,40270.0,22510.0,98420.0,312843.0,11368.0,188343.0,23015.0,28.200988683363406,84.6059982514432,7.813224836283711,13.17554658730065,27.87527972136445,8.398692380854369,108.91995748373606,11.198172279990466,102.30141998052531,158.84085714192042,123.42840924911621,3.881091390087631,112.4783721131777,6.529971955359199,6.163075591648972,37.55937279243502,42.26269611607161,140.30905320630876,35.47435533709415,81.23103180385665,64.38083620191689,5.087781186849472,2.843952185646427,12.434552381666874,39.52512366122546,1.4362527075268139,23.795579142656816,2.907754755781986
