,region,year,co2,co2_per_capita,population,Deaths: Outdoor air pollution,Deaths - Cause: All causes - Risk: High systolic blood pressure - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet high in sodium - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet low in whole grains - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Alcohol use - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet low in fruits - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Unsafe water source - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Secondhand smoke - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Low birth weight - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Child wasting - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Unsafe sex - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet low in nuts and seeds - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Household air pollution from solid fuels - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet low in vegetables - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Low physical activity - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Smoking - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: High fasting plasma glucose - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: High body-mass index - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Unsafe sanitation - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: No access to handwashing facility - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Drug use - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Low bone mineral density - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Vitamin A deficiency - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Child stunting - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Discontinued breastfeeding - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Non-exclusive breastfeeding - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Iron deficiency - Sex: Both - Age: All Ages (Number),rate Deaths: Outdoor air pollution,rate Deaths - Cause: All causes - Risk: High systolic blood pressure - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Diet high in sodium - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Diet low in whole grains - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Alcohol use - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Diet low in fruits - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Unsafe water source - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Secondhand smoke - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Low birth weight - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Child wasting - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Unsafe sex - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Diet low in nuts and seeds - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Household air pollution from solid fuels - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Diet low in vegetables - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Low physical activity - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Smoking - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: High fasting plasma glucose - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: High body-mass index - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Unsafe sanitation - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: No access to handwashing facility - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Drug use - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Low bone mineral density - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Vitamin A deficiency - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Child stunting - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Discontinued breastfeeding - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Non-exclusive breastfeeding - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Iron deficiency - Sex: Both - Age: All Ages (Number)
178,Africa,1990,659.295,1.052,630349685,169060,517225,53910,84581,181775,55539,875626,86286,738574,1324893,219750,29657,849985,44111,35653,243978,235137,1016435,197605,657254,502767,9417,17678,111243,336431,12498,194374,20760,26.82003403,82.05366201,8.552395802,13.41810776,28.83716837,8.810823789,138.9111506,13.68859255,117.168933,210.1838125,34.86160225,4.704848865,134.8434084,6.99786183,5.656066918,38.70518314,37.3026283,161.2493865,31.34847287,104.2681571,79.76001448,1.493932689,2.804475107,17.64782353,53.37212154,1.98270901,30.83590024,3.29341007
179,Africa,1991,689.026,1.068,647344041,173284,530279,54726,86492,185915,56576,891975,86193,743576,1334548,277823,29876,854965,44963,36743,249771,244239,1025291,204707,668571,510534,11493,18251,110511,337791,12756,199186,20850,26.76845526,81.91610124,8.453928133,13.36105603,28.71965883,8.739711253,137.7899453,13.31486729,114.8656592,206.157455,42.91736425,4.615165678,132.0727381,6.945765644,5.675961726,38.58396528,37.72939651,158.3842493,31.62259742,103.2790846,78.86594572,1.775408326,2.819366341,17.07144779,52.18106271,1.970513234,30.7697279,3.220853005
180,Africa,1992,668.677,1.01,664512034,177903,546003,55717,88607,190333,58033,879864,86672,748911,1324392,346730,30171,862498,46026,38058,256000,254856,1037216,213102,658974,508564,14132,18769,108260,335429,12510,195331,21114,26.77197566,82.16600634,8.384648757,13.33414528,28.64252117,8.733175177,132.4075344,13.04295416,112.7008935,199.3029369,52.17813708,4.540324096,129.7941882,6.926285401,5.727210051,38.52450925,38.35235285,156.0868648,32.0689452,99.1666014,76.53194735,2.1266733,2.824478571,16.29165379,50.47749068,1.882584417,29.39465202,3.177369095
181,Africa,1993,708.858,1.043,681869333,183152,561036,56454,91107,192704,59151,874695,86801,756069,1316012,424735,30531,868398,46726,39572,260980,264429,1048242,220730,654419,508280,17110,19173,106062,332856,12357,193919,21230,26.86027823,82.27910728,8.279298873,13.36135761,28.26113313,8.674829199,128.2789763,12.72985832,110.8818015,193.0006141,62.28979358,4.477544087,127.3554856,6.85263257,5.803457948,38.27419527,38.78001066,153.7306269,32.37130478,95.97425318,74.54214105,2.509278416,2.811829052,15.55459307,48.8152178,1.812224044,28.43931977,3.113499753
182,Africa,1994,719.623,1.029,699445412,188664,578231,57345,93391,197211,60539,890821,87309,764485,1316306,511438,30864,875226,47612,41221,268237,275651,1060845,230701,665805,516586,20653,19740,105402,332387,12335,194972,21476,26.97337015,82.66992536,8.198638381,13.35214992,28.19533828,8.655285882,127.361047,12.48260386,109.2987368,188.1928135,73.1205025,4.412638852,125.1314234,6.807107343,5.893383428,38.34995489,39.40993754,151.6694487,32.98341744,95.19041638,73.85651419,2.952767957,2.822235969,15.06936756,47.52150694,1.763540055,27.87522752,3.070432607
183,Africa,1995,771.994,1.077,717270112,192552,592549,58339,95057,202508,61576,881504,87173,774019,1306929,603349,30813,882166,48491,42261,274589,285300,1072243,237189,658839,514878,24520,20270,104321,330043,12166,193401,21529,26.84511689,82.61169538,8.133477058,13.25260852,28.23315744,8.584771479,122.8970767,12.15344102,107.9117876,182.2087632,84.1174043,4.295871177,122.9893711,6.760493598,5.891922623,38.28250967,39.77581043,149.4894297,33.06829548,91.85368092,71.78299937,3.4185169,2.82599256,14.54417217,46.01376727,1.696153206,26.96348234,3.001519182
184,Africa,1996,783.254,1.066,735361106,198038,611544,59312,97356,207417,63007,882094,87319,783144,1296922,698261,30896,886678,49517,43750,281361,297667,1082738,248331,658871,515734,28523,20964,103433,327155,12115,192930,21795,26.9307145,83.16240756,8.065697181,13.23920985,28.2061423,8.568171404,119.9538557,11.8743022,106.4978816,176.3653244,94.95484522,4.201473228,120.5772229,6.733698532,5.94945798,38.26161021,40.47902419,147.2389539,33.76993942,89.59829322,70.13343455,3.878774627,2.850844276,14.06560656,44.48902686,1.647489907,26.23608978,2.963849981
185,Africa,1997,812.903,1.079,753737584,207919,635036,60574,100227,213374,64868,876974,88470,791850,1283798,794638,31230,888648,50604,45816,290851,312682,1094340,262989,654619,514410,32697,21507,101610,322869,12047,191529,22063,27.58506467,84.25160341,8.036483955,13.29733347,28.30879135,8.606178248,116.3500426,11.73750678,105.0564569,170.324265,105.4263469,4.143351833,117.8988575,6.713742432,6.078508087,38.58783298,41.48419909,145.1884612,34.89132101,86.84972249,68.24789037,4.337981904,2.853380335,13.48081908,42.83573048,1.598301618,25.41056782,2.927146061
186,Africa,1998,838.022,1.085,772437161,215795,654282,61456,102374,218431,66009,872669,88693,801356,1273343,888574,31025,890790,51345,47486,296053,324937,1104007,272985,651094,513280,36599,22171,99799,318543,11875,190811,22556,27.93690036,84.70358924,7.956116446,13.25337583,28.27815789,8.545549507,112.9760509,11.48222852,103.7438436,164.8474548,115.035118,4.016507953,115.3220022,6.647142653,6.147555089,38.32713066,42.06646397,142.9251538,35.34073887,84.29086958,66.44941827,4.73812005,2.870265844,12.92001538,41.23869437,1.537341884,24.7024625,2.920108086
187,Africa,1999,830.397,1.05,791504165,223212,669660,61842,104285,220634,66476,862106,88634,809720,1257232,976941,30719,890271,51685,48781,297284,334511,1110552,280781,642947,509577,40270,22510,98420,312843,11368,188343,23015,28.20098868,84.60599825,7.813224836,13.17554659,27.87527972,8.398692381,108.9199575,11.19817228,102.30142,158.8408571,123.4284092,3.88109139,112.4783721,6.529971955,6.163075592,37.55937279,42.26269612,140.3090532,35.47435534,81.2310318,64.3808362,5.087781187,2.843952186,12.43455238,39.52512366,1.436252708,23.79557914,2.907754756
