,country,year,trade_co2,cement_co2,cement_co2_per_capita,coal_co2,coal_co2_per_capita,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,oil_co2,oil_co2_per_capita,other_industry_co2,other_co2_per_capita,co2_growth_prct,co2_growth_abs,co2_per_gdp,co2_per_unit_energy,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,trade_co2_share,share_global_co2,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,share_global_cumulative_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Deaths - Cause: All causes - Risk: Outdoor air pollution - OWID - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Outdoor air pollution - OWID - Sex: Both - Age: All Ages (Number),category
0,Africa,1990,-203.224,22.801,0.036,295.76,0.472,20.795,0.033,75.954,0.121,243.984,0.39,,,-5.71,-39.926,0.468,0.249,456.07,0.728,0.323,15930.837,421.839,8354.438,1313.871,674.894,5165.796,,-30.82,2.9,4.57,3.39,8.22,1.98,2.65,,1.97,3.48,1.91,16.08,0.86,1.92,,46.71909567,169060,26.82003403,Africa
1,Africa,1991,-213.043,24.426,0.038,306.508,0.475,20.799,0.032,78.466,0.122,258.828,0.401,,,4.51,29.731,0.472,0.259,475.983,0.738,0.326,16619.863,446.264,8660.946,1334.669,753.36,5424.624,,-30.92,2.97,4.77,3.55,7.77,2.0,2.67,,2.0,3.53,1.94,15.81,0.92,1.94,,46.53055893,173284,26.76845526,Africa
2,Africa,1992,-183.457,24.904,0.038,288.587,0.436,23.351,0.035,74.273,0.112,257.562,0.389,,,-2.95,-20.348,0.45,0.246,485.22,0.733,0.326,17288.54,471.169,8949.532,1358.02,827.633,5682.186,,-27.44,2.96,4.66,3.42,9.84,1.87,2.8,,2.03,3.57,1.97,15.65,0.96,1.97,,46.34202218,177903,26.77197566,Africa
3,Africa,1993,-208.188,24.609,0.036,318.855,0.469,21.79,0.032,81.722,0.12,261.882,0.386,,,6.01,40.181,0.465,0.262,500.671,0.737,0.328,17997.398,495.778,9268.387,1379.81,909.354,5944.069,,-29.37,3.11,4.43,3.74,9.33,2.01,2.85,,2.05,3.61,2.0,15.48,1.01,2.0,,46.15348544,183152,26.86027823,Africa
4,Africa,1994,-215.113,25.111,0.036,330.702,0.473,21.797,0.031,85.588,0.122,256.425,0.367,,,1.52,10.764,0.453,0.26,504.509,0.722,0.318,18717.021,520.889,9599.089,1401.607,994.943,6200.493,,-29.89,3.13,4.24,3.86,9.2,2.08,2.78,,2.08,3.63,2.03,15.32,1.05,2.02,,45.9649487,188664,26.97337015,Africa
5,Africa,1995,-243.635,27.083,0.038,346.864,0.484,24.097,0.034,101.557,0.142,272.393,0.38,,,7.28,52.372,0.464,0.268,528.36,0.737,0.318,19489.015,547.971,9945.954,1425.704,1096.499,6472.887,,-31.56,3.29,4.32,3.93,10.25,2.41,2.92,,2.11,3.66,2.07,15.19,1.11,2.05,,45.77641195,192552,26.84511689,Africa
6,Africa,1996,-260.589,27.681,0.038,353.13,0.48,23.787,0.032,108.019,0.147,270.637,0.368,,,1.46,11.26,0.439,0.265,522.665,0.711,0.293,20272.269,575.652,10299.084,1449.491,1204.519,6743.524,,-33.27,3.24,4.33,3.9,10.03,2.45,2.82,,2.14,3.69,2.1,15.07,1.17,2.07,,45.76638035,198038,26.9307145,Africa
7,Africa,1997,-255.582,28.35,0.038,360.837,0.479,23.394,0.031,95.205,0.126,305.117,0.405,,,3.79,29.649,0.432,0.27,557.322,0.74,0.296,21085.173,604.002,10659.921,1472.885,1299.724,7048.641,,-31.44,3.35,4.3,4.01,9.63,2.16,3.13,,2.17,3.72,2.14,14.93,1.21,2.1,,45.75634876,207919,27.58506467,Africa
8,Africa,1998,-264.655,29.203,0.038,355.514,0.46,22.961,0.03,112.712,0.146,317.632,0.411,,,3.09,25.119,0.422,0.277,573.367,0.743,0.289,21923.195,633.205,11015.435,1495.846,1412.436,7366.273,,-31.58,3.46,4.46,4.06,9.92,2.51,3.22,,2.2,3.74,2.17,14.82,1.26,2.13,,45.74631716,215795,27.93690036,Africa
9,Africa,1999,-233.158,30.311,0.038,366.523,0.463,23.569,0.03,114.377,0.145,295.618,0.374,,,-0.91,-7.625,0.399,0.265,597.24,0.755,0.287,22753.592,663.516,11381.958,1519.415,1526.812,7661.891,,-28.08,3.39,4.42,4.22,10.53,2.47,2.93,,2.23,3.77,2.21,14.72,1.31,2.16,,45.73628556,223212,28.20098868,Africa
