,country,year,cement_co2,coal_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,consumption_co2,PM2.5 air pollution - mean annual exposure (micrograms per cubic meter),Deaths - Cause: All causes - Risk: Outdoor air pollution - OWID - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Outdoor air pollution - OWID - Sex: Both - Age: All Ages (Number),category
0,Africa,1990,22.801,295.76,20.795,75.954,243.984,,456.07,46.71909567,169060,26.82003403,Africa
1,Africa,1991,24.426,306.508,20.799,78.466,258.828,,475.983,46.53055893,173284,26.76845526,Africa
2,Africa,1992,24.904,288.587,23.351,74.273,257.562,,485.22,46.34202218,177903,26.77197566,Africa
3,Africa,1993,24.609,318.855,21.79,81.722,261.882,,500.671,46.15348544,183152,26.86027823,Africa
4,Africa,1994,25.111,330.702,21.797,85.588,256.425,,504.509,45.9649487,188664,26.97337015,Africa
5,Africa,1995,27.083,346.864,24.097,101.557,272.393,,528.36,45.77641195,192552,26.84511689,Africa
6,Africa,1996,27.681,353.13,23.787,108.019,270.637,,522.665,45.76638035,198038,26.9307145,Africa
7,Africa,1997,28.35,360.837,23.394,95.205,305.117,,557.322,45.75634876,207919,27.58506467,Africa
8,Africa,1998,29.203,355.514,22.961,112.712,317.632,,573.367,45.74631716,215795,27.93690036,Africa
9,Africa,1999,30.311,366.523,23.569,114.377,295.618,,597.24,45.73628556,223212,28.20098868,Africa
10,Africa,2000,31.51,370.247,55.282,114.35,315.173,,620.049,45.72625397,226947,27.98414465,Africa
11,Africa,2001,32.908,371.98,58.049,120.126,301.105,,608.52,45.19158296,233898,28.14987186,Africa
12,Africa,2002,35.231,361.119,71.508,134.359,290.358,,600.14,44.65691194,240765,28.28209116,Africa
13,Africa,2003,35.508,390.893,66.519,145.785,328.515,,668.371,44.12224093,248444,28.48317271,Africa
14,Africa,2004,38.17,417.515,76.777,152.691,351.532,,716.243,43.58756992,253462,28.35644075,Africa
15,Africa,2005,41.9,412.792,75.649,183.64,343.361,,736.469,43.05289891,258604,28.22712334,Africa
16,Africa,2006,45.788,419.148,73.553,179.347,372.359,,760.679,42.87193311,267694,28.50203746,Africa
17,Africa,2007,48.967,430.406,76.349,192.326,384.245,,800.03,42.6909673,274436,28.49738079,Africa
18,Africa,2008,51.222,454.72,72.03,195.084,408.335,,834.292,42.5100015,282637,28.61788876,Africa
19,Africa,2009,57.625,443.29,60.76,191.718,437.642,,852.44,42.32903569,292369,28.86039525,Africa
20,Africa,2010,59.085,441.757,64.329,201.912,450.94,,861.195,42.14806988,301219,28.9827607,Africa
21,Africa,2011,58.875,432.931,58.086,221.731,487.086,,894.558,41.81991322,311465,29.20687957,Africa
22,Africa,2012,63.528,429.56,59.397,234.038,466.622,,906.331,43.2374383,327136,29.89336902,Africa
23,Africa,2013,65.929,427.34,56.979,236.615,473.454,,963.117,41.81167153,341977,30.45086869,Africa
24,Africa,2014,69.852,455.167,57.121,246.717,534.641,,1005.38,40.93724746,356071,30.89731111,Africa
25,Africa,2015,73.106,428.573,54.317,253.844,512.896,,989.366,49.69521769,370225,31.31028845,Africa
26,Africa,2016,77.335,434.484,47.603,266.183,531.115,,1018.286,48.28726421,373196,30.76533612,Africa
27,Africa,2017,76.797,439.67,49.472,284.093,534.341,,1025.97,48.34794284,374338,30.08610353,Africa
28,Asia,1990,242.821,3256.342,79.745,648.17,2312.63,86.129,6563.644,47.82145091,1269376,39.35644081,Asia
29,Asia,1991,267.696,3372.281,72.248,698.858,2455.515,89.749,6736.165,47.86814662,1307105,39.82450956,Asia
30,Asia,1992,299.26,3432.37,68.744,746.431,2624.788,97.993,7259.061,47.91484234,1353316,40.55838191,Asia
31,Asia,1993,329.406,3564.006,65.91,804.68,2729.539,106.975,7494.71,47.96153805,1398933,41.27344045,Asia
32,Asia,1994,360.606,3721.136,69.458,855.445,2814.337,110.312,7646.255,48.00823377,1443560,41.95083689,Asia
33,Asia,1995,390.278,3937.114,62.911,863.764,2884.125,113.417,8001.97,48.05492948,1487301,42.58884196,Asia
34,Asia,1996,407.105,4100.706,64.542,906.194,2985.4,115.153,8245.616,48.16585071,1545446,43.61997404,Asia
35,Asia,1997,418.427,4103.185,67.878,957.815,3026.478,117.255,8252.777,48.27677194,1624115,45.20041844,Asia
36,Asia,1998,408.082,3916.006,66.318,958.014,2958.25,114.763,7797.057,48.38769317,1691030,46.42174313,Asia
37,Asia,1999,434.97,3912.77,65.133,1039.325,3113.47,112.649,8119.341,48.49861441,1771581,47.98678625,Asia
38,Asia,2000,460.032,4070.052,66.735,1073.287,3310.205,110.744,8462.99,48.60953564,1847321,49.38938295,Asia
39,Asia,2001,493.168,4149.993,71.876,1114.378,3320.907,108.85,8591.377,49.196309,1914088,50.52597009,Asia
40,Asia,2002,530.477,4569.398,64.87,1182.972,3321.209,110.608,9007.899,49.78308236,1980923,51.64163055,Asia
41,Asia,2003,584.558,5230.334,71.404,1272.129,3443.439,114.246,9822.791,50.36985572,2052730,52.86261741,Asia
42,Asia,2004,630.325,5838.552,80.218,1369.146,3643.198,120.062,10577.564,50.95662908,2118183,53.89592045,Asia
43,Asia,2005,670.905,6527.283,90.114,1453.01,3651.167,129.739,11279.571,51.54340244,2189795,55.06204899,Asia
44,Asia,2006,741.049,7118.46,100.341,1574.45,3691.894,136.932,11890.977,52.01228287,2251745,55.96296258,Asia
45,Asia,2007,802.205,7670.906,93.509,1658.173,3712.95,143.165,12552.448,52.48116331,2343093,57.56771355,Asia
46,Asia,2008,830.348,8178.853,97.497,1772.604,3785.003,146.906,13282.016,52.95004374,2462476,59.81978993,Asia
47,Asia,2009,898.594,8548.97,112.171,1840.91,3862.377,149.277,14002.694,53.41892417,2535778,60.91791279,Asia
48,Asia,2010,968.791,9248.971,111.022,2019.057,4042.998,140.11,15040.263,53.8878046,2633128,62.56718122,Asia
49,Asia,2011,1057.353,10132.133,105.814,2198.413,4086.3,166.619,16088.634,54.52067386,2743692,64.49577375,Asia
50,Asia,2012,1083.775,10498.536,108.017,2275.855,4321.428,168.688,16843.143,50.09644907,2851278,66.31916818,Asia
51,Asia,2013,1142.451,10607.99,111.991,2309.748,4355.425,186.73,17153.516,50.86595329,2976717,68.52183598,Asia
52,Asia,2014,1186.575,10719.039,118.423,2480.009,4319.299,195.456,17481.043,48.7694851,3072012,70.00065995,Asia
53,Asia,2015,1130.591,10647.174,104.559,2562.234,4495.51,195.842,17706.621,48.64814787,3151685,71.10698298,Asia
54,Asia,2016,1176.359,10504.449,130.364,2659.839,4549.715,197.44,17830.162,46.50386205,3199177,71.48299862,Asia
55,Asia,2017,1195.419,10693.833,163.145,2762.551,4638.977,199.587,18223.134,46.90107292,3235892,71.62443644,Asia
56,Europe,1990,153.879,2990.532,63.074,1745.321,2959.767,103.016,7739.747,18.56617065,599175,83.03109914,Europe
57,Europe,1991,141.499,2784.894,59.945,1740.851,2895.04,92.156,7630.416,18.32971503,600724,83.02350164,Europe
58,Europe,1992,132.116,2514.334,55.255,1718.98,2573.797,84.336,6631.89,18.09325942,605893,83.54947926,Europe
59,Europe,1993,119.667,2395.362,51.239,1712.644,2438.279,74.792,6547.994,17.8568038,630226,86.75116541,Europe
60,Europe,1994,118.661,2249.938,48.118,1647.625,2299.753,69.69,6381.408,17.62034819,641037,88.13122893,Europe
61,Europe,1995,120.3,2231.814,50.903,1656.923,2284.604,70.697,6384.338,17.38389257,634060,87.11412425,Europe
62,Europe,1996,112.012,2192.261,51.227,1743.8,2299.171,65.884,6543.445,17.2353679,612800,84.18811541,Europe
63,Europe,1997,114.208,2069.926,51.693,1695.849,2261.471,64.982,6352.408,17.08684323,593786,81.61326886,Europe
64,Europe,1998,116.117,1980.269,50.667,1749.947,2271.758,63.429,6325.896,16.93831855,576161,79.24634687,Europe
65,Europe,1999,118.134,1899.302,51.485,1772.396,2242.615,63.655,6228.255,16.78979388,577386,79.46063554,Europe
66,Europe,2000,122.121,1963.231,51.124,1787.58,2159.665,65.312,6278.734,16.64126921,568603,78.26566772,Europe
67,Europe,2001,119.392,1995.498,50.398,1831.124,2214.613,64.917,6423.352,16.59678209,560690,77.15195891,Europe
68,Europe,2002,120.354,1972.209,57.95,1831.151,2194.893,65.1,6469.904,16.55229498,562446,77.33433444,Europe
69,Europe,2003,124.373,2017.658,58.644,1917.411,2202.52,67.235,6659.501,16.50780787,557305,76.53919398,Europe
